IP,Hostname,Anti-clickjacking,X-XSS-Protection,No CGI Directories found,valid response with junk HTTP,Allowed HTTP Methods,which may suggest a WAF,shellshock,OSVDB-637,OSVDB-578
208.91.197.13,lauderdaleluxurylistings.com,1,1,1,0,0,0,0,1,1
217.160.0.200,7426fbe0d8676fde2cac756c0731ce57.udagwebspace.de,1,1,1,0,0,0,0,0,0
104.164.6.163,shaadiparichay.com,1,1,1,0,0,0,0,0,0
74.220.219.201,nyc-townhousemanagement.com,1,1,1,0,1,0,0,0,0
50.31.144.70,www.lovethisrobe.biz,1,1,1,0,0,0,0,0,0
91.217.242.35,srodkidlagastronomii.pl,1,1,0,0,0,0,0,0,0
162.241.26.11,janzenappliancesolutions.com,1,1,1,1,0,0,0,1,1
103.1.237.73,caxiemdalekhanh.com,1,1,1,0,0,0,0,0,0
192.232.251.98,www.yourfitnesscorner.com,1,1,1,0,0,0,0,0,0
119.207.79.151,leesangku.com,1,1,1,0,0,0,0,0,0
192.185.150.46,excel-executive.co.uk,1,1,1,1,0,1,0,0,0
204.11.56.48,www.paypal-account-security-service.mytelevisionprograms.com,1,1,1,0,0,0,0,0,0
204.11.56.48,mail.vabookings.com,1,1,1,0,0,0,0,0,0
66.33.196.86,www.odontologiaoralalcance.com.br,1,1,1,0,0,0,0,0,0
34.102.136.180,www.skinessenceparadise.com,1,1,1,0,0,0,0,0,0
212.239.19.8,www.delboconsorzio.it,1,1,1,0,1,0,0,0,0
172.67.170.78,kd-vrn.ru,0,1,0,0,0,0,0,0,0
27.121.67.67,www.kmh.com.au,1,1,1,0,0,0,0,0,0
83.243.58.187,www.bi-de-wisch.de,1,1,1,1,0,0,0,0,0
91.217.242.35,srodkidlagastronomii.pl,1,1,0,0,0,0,0,0,0
23.227.38.64,www.mototeks.com,0,0,1,0,0,0,0,0,0
74.208.236.101,scadatest.com,1,1,1,0,0,0,0,0,0
5.57.226.202,wellsfragosafe.webcindario.com,1,1,1,0,0,0,0,0,0
5.57.226.202,boaofsafe.webcindario.com,1,1,1,0,0,0,0,0,0
5.57.226.202,boaofsafe.webcindario.com,1,1,1,0,0,0,0,0,0
5.57.226.202,boaofsafe.webcindario.com,1,1,1,0,0,0,0,0,0
5.57.226.202,boaofsafe.webcindario.com,1,1,1,0,0,0,0,0,0
74.220.199.8,inspireresumes.com,1,1,1,1,0,0,0,0,0
204.11.56.48,globalpowersaver.com,1,1,1,0,0,0,0,0,0
185.53.178.13,kingsport3.com,1,1,1,0,0,0,0,1,1
185.53.178.13,kingsport3.com,1,1,1,0,0,0,0,1,1
185.53.178.13,kingsport3.com,1,1,1,0,0,0,0,1,1
185.53.178.13,kingsport3.com,1,1,1,0,0,0,0,1,1
185.53.178.13,kingsport3.com,1,1,1,0,0,0,0,1,1
185.53.178.13,kingsport3.com185.53.178.13,kingsport3.com185.53.178.13,kingsport3.com185.53.178.13,kingsport3.com185.53.178.13,kingsport3.com185.53.178.13,kingsport3.com185.53.178.13,kingsport3.com185.53.178.13,kingsport3.com185.53.178.13,kingsport3.com185.53.178.13,kingsport3.com185.53.178.13,kingsport3.com185.53.178.13,kingsport3.com,1,1,1,0,0,0,0,1,1
185.53.178.13,kingsport3.com185.53.178.13,kingsport3.com185.53.178.13,kingsport3.com,1,1,1,0,0,0,0,1,1
185.53.178.13,kingsport3.com54.38.7.232,www.nefrouruguay.com,1,1,1,0,0,0,0,1,1
185.53.178.13,kingsport3.com185.53.178.13,kingsport3.com,1,1,1,0,0,0,0,1,1
185.53.178.13,kingsport3.com185.53.178.13,kingsport3.com,1,1,1,0,0,0,0,1,1
185.53.178.13,kingsport3.com185.53.178.13,kingsport3.com185.53.178.13,kingsport3.com185.53.178.13,kingsport3.com185.53.178.13,kingsport3.com185.53.178.13,kingsport3.com185.53.178.13,kingsport3.com185.53.178.13,kingsport3.com185.53.178.13,kingsport3.com185.53.178.13,kingsport3.com185.53.178.13,kingsport3.com185.53.178.13,kingsport3.com185.53.178.13,kingsport3.com185.53.178.13,kingsport3.com185.53.178.13,kingsport3.com185.53.178.13,kingsport3.com185.53.178.13,kingsport3.com185.53.178.13,kingsport3.com185.53.178.13,kingsport3.com185.53.178.13,kingsport3.com185.53.178.13,kingsport3.com185.53.178.13,kingsport3.com185.53.178.13,kingsport3.com185.53.178.13,kingsport3.com185.53.178.13,kingsport3.com185.53.178.13,kingsport3.com185.53.178.13,kingsport3.com185.53.178.13,kingsport3.com185.53.178.13,kingsport3.com185.53.178.13,kingsport3.com185.53.178.13,kingsport3.com185.53.178.13,kingsport3.com185.53.178.13,kingsport3.com185.53.178.13,kingsport3.com216.172.161.48,www.hypnoedu.com.br,1,1,1,0,0,0,0,1,1
45.14.148.151,www.diycarbonwheels.com,1,1,1,0,0,0,0,0,0
62.225.131.139,www.integratix.de,1,1,0,0,0,0,0,0,0
103.229.74.247,warungmakan26.co.id,1,1,1,0,0,0,0,0,0
184.154.67.178,clippingimagessolution.com,1,1,1,0,1,0,0,0,0
192.185.169.239,everestmotors.com.np,1,1,1,0,0,0,0,0,0
84.19.26.112,mrssimple.de,1,1,1,1,0,0,0,0,0
204.11.56.48,paypal-account-security-service.mytelevisionprograms.com,1,1,1,0,0,0,0,0,0
199.59.242.153,servsblue58.byethost8.com,1,1,1,0,0,0,0,1,0
81.4.127.133,www.archivio-tirinnanzi.se-133.com,0,0,1,1,1,0,0,0,0
13.237.237.202,t4agroup.com,1,1,0,0,0,0,0,0,0
103.229.74.247,suroyalost.id,1,1,1,0,0,0,0,0,0
1.214.118.210,kkachi.co.kr,1,1,0,0,0,0,0,1,0
1.214.118.210,kgti.co.kr,1,1,1,0,0,0,0,0,0
1.214.118.210,4666.co.kr,1,1,0,0,0,0,0,1,0
209.140.22.121,nandiy.net,1,1,1,0,1,0,0,0,0
200.35.158.15,administracionganadera.cl,1,1,0,0,0,1,0,0,0
52.15.173.246,stillrtc.com,1,1,1,0,0,0,0,0,0
